Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Município (Código),Município,Variável (Código),Variável,Ano (Código),Ano,Sexo (Código),Sexo,Cor ou raça (Código),Cor ou raça,Idade (Código),Idade
6,Município,2,%,90.31,1101104,Itapuã do Oeste - RO,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,2022,2022,6794,Total,95251,Total,100362,Total
6,Município,2,%,88.99,1101203,Ministro Andreazza - RO,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,2022,2022,6794,Total,95251,Total,100362,Total
6,Município,2,%,89.07,1101302,Mirante da Serra - RO,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,2022,2022,6794,Total,95251,Total,100362,Total
6,Município,2,%,89.15,1101401,Monte Negro - RO,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,2022,2022,6794,Total,95251,Total,100362,Total
6,Município,2,%,89.7,1101435,Nova União - RO,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,2022,2022,6794,Total,95251,Total,100362,Total
6,Município,2,%,89.53,1101450,Parecis - RO,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,2022,2022,6794,Total,95251,Total,100362,Total
6,Município,2,%,93.15,1101468,Pimenteiras do Oeste - RO,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,2022,2022,6794,Total,95251,Total,100362,Total
6,Município,2,%,87.46,1101476,Primavera de Rondônia - RO,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,2022,2022,6794,Total,95251,Total,100362,Total
6,Município,2,%,89.81,1101484,São Felipe D'Oeste - RO,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,2022,2022,6794,Total,95251,Total,100362,Total
6,Município,2,%,91.86,1101492,São Francisco do Guaporé - RO,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,2022,2022,6794,Total,95251,Total,100362,Total
6,Município,2,%,92.73,1101500,Seringueiras - RO,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,2022,2022,6794,Total,95251,Total,100362,Total
6,Município,2,%,89.96,1101559,Teixeirópolis - RO,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,2022,2022,6794,Total,95251,Total,100362,Total
6,Município,2,%,88.38,1101609,Theobroma - RO,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,2022,2022,6794,Total,95251,Total,100362,Total
6,Município,2,%,90.24,1101708,Urupá - RO,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,2022,2022,6794,Total,95251,Total,100362,Total
6,Município,2,%,88.35,1101757,Vale do Anari - RO,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,2022,2022,6794,Total,95251,Total,100362,Total
6,Município,2,%,89.5,1101807,Vale do Paraíso - RO,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,2022,2022,6794,Total,95251,Total,100362,Total
6,Município,2,%,88.35,1200013,Acrelândia - AC,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,2022,2022,6794,Total,95251,Total,100362,Total
6,Município,2,%,85.3,1200054,Assis Brasil - AC,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,2022,2022,6794,Total,95251,Total,100362,Total
6,Município,2,%,89.01,1200104,Brasiléia - AC,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,2022,2022,6794,Total,95251,Total,100362,Total
6,Município,2,%,81.26,1200138,Bujari - AC,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,2022,2022,6794,Total,95251,Total,100362,Total
6,Município,2,%,84.27,1200179,Capixaba - AC,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,2022,2022,6794,Total,95251,Total,100362,Total
6,Município,2,%,86.24,1200203,Cruzeiro do Sul - AC,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,2022,2022,6794,Total,95251,Total,100362,Total
6,Município,2,%,88.78,1200252,Epitaciolândia - AC,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,2022,2022,6794,Total,95251,Total,100362,Total
